2019-03-25 15:22:33.047 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 108
2019-03-25 15:22:33.050 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 108
2019-03-25 15:22:33.050 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 109
2019-03-25 15:22:33.059 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 109
2019-03-25 15:22:33.060 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 110
2019-03-25 15:22:33.064 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 110
2019-03-25 15:22:33.065 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 111
2019-03-25 15:22:33.067 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 111
2019-03-25 15:22:33.067 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 112
2019-03-25 15:22:33.070 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 112
2019-03-25 15:22:33.070 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 113
2019-03-25 15:22:33.073 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 113
2019-03-25 15:22:33.073 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 114
2019-03-25 15:22:33.077 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 114
2019-03-25 15:22:33.077 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 115
2019-03-25 15:22:33.080 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 115
2019-03-25 15:22:33.080 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 116
2019-03-25 15:22:33.083 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 116
2019-03-25 15:22:33.083 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 117
2019-03-25 15:22:33.085 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 117
2019-03-25 15:22:33.086 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 118
2019-03-25 15:22:33.088 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 118
2019-03-25 15:22:33.088 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 119
2019-03-25 15:22:33.093 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 119
2019-03-25 15:22:33.093 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 120
2019-03-25 15:22:33.097 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 120
2019-03-25 15:22:33.097 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 121
2019-03-25 15:22:33.099 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 121
2019-03-25 15:22:33.100 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 122
2019-03-25 15:22:33.102 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 122
2019-03-25 15:22:33.103 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 123
2019-03-25 15:22:33.106 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 123
2019-03-25 15:22:33.106 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 124
2019-03-25 15:22:33.111 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 124
2019-03-25 15:22:33.112 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 125
2019-03-25 15:22:33.115 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 125
2019-03-25 15:22:33.115 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 126
2019-03-25 15:22:33.121 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 126
2019-03-25 15:22:33.121 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 127
2019-03-25 15:22:33.124 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 127
2019-03-25 15:22:33.124 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 128
2019-03-25 15:22:33.127 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 128
2019-03-25 15:22:33.127 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 129
2019-03-25 15:22:33.130 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 129
2019-03-25 15:22:33.130 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 130
2019-03-25 15:22:33.133 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 130
2019-03-25 15:22:33.133 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 131
2019-03-25 15:22:33.136 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 131
2019-03-25 15:22:33.136 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 132
2019-03-25 15:22:33.138 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 132
2019-03-25 15:22:33.138 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 133
2019-03-25 15:22:33.141 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 133
2019-03-25 15:22:33.141 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 134
2019-03-25 15:22:33.147 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 134
2019-03-25 15:22:33.147 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 135
2019-03-25 15:22:33.149 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 135
2019-03-25 15:22:33.149 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 136
2019-03-25 15:22:33.152 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 136
2019-03-25 15:22:33.152 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 137
2019-03-25 15:22:33.154 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 137
